PU.1_Target_Genes (RGAGGAARY_PU1_Q6.v2024.1.Hs),,,,,,,,,
ICAM4,ID3,IFRD2,IGF1,IL3,IL34,IL5,IMPG1,INHA,INTS5
IP6K2,ISL1,JUN,KIF3C,KIRREL2,KLF1,KLF12,LIN28A,LINC00656,LINC00670
LINC01341,LMO2,LRR1,LUC7L3,LYL1,MAGED2,MAMDC4,MAML3,MAP4K3,MAP4K5
MBNL2,MECOM,MITF,MMP23A,MMP23B,MOGAT2,MSI2,MSR1,MST1,MTMR4
MYBPC3,MYO1C,MYOT,MYRF,NDRG2,NDUFA4L2,NEUROD6,NEUROG3,NFE2,NFRKB
NHLH2,NOL4L,NR3C1,NR5A2,NRP2,P3H2,PAN2,PAPPA,PCDH7,PDGFRA
PDZD2,PGGT1B,PHF21A,PI15,PIK3R3,PITX2,PKIA,PLAG1,PLCXD2,PLEKHG6
PNLIPRP1,PNLIPRP2,PNOC,PON3,POU4F2,PPP2R3A,PRDX2,PRELID1,PRG2,PRKAA1
PRR18,PRSS1,PRSS3,PSD4,PTGDR2,PTPRR,RAB24,RAB3C,RALGPS2,RARB
RBPMS,RHOBTB2,RNF123,RNF185,RORA,ROS1,RUNX1T1,S1PR2,SAMD11,SCUBE3
SEMA4D,SFRP5,SIX1,SLC14A1,SLC26A7,SLC26A9,SLC35A2,SLC41A1,SLC4A1,SLC8A3
SLITRK2,SOBP,SPATS1,SRSF1,STAG2,SYN1,SYNE1,SYNPO,TAB2,TACC1
TAFA1,TBX5,TCF21,TFAP2D,TFEC,TFR2,TMEM196,TMEM65,TNFRSF19,TNNC1
TNXB,TRPS1,TSC22D3,TSHB,TSPEAR,TWIST1,UBE2F,UBE2H,UBE2W,UBE3A
WFIKKN2,WNT6,XIRP1,ZBTB20,ZDHHC1,ZIC1,ZNF385B,,,
RUNX1_Target_Genes (AML1_01.v2024.1.Hs),,,,,,,,,
ABCD4,ACIN1,ACSL5,ADAMTS4,ADAMTS8,AGO1,AKAP3,ANK3,ANKRD1,ANXA8
